GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,InstantAdapter,0,39,0,0,0,8,0,3,0,3
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,JavaTimeConverters,53,142,10,10,11,41,11,11,1,11
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,ZoneIdAdapter,8,37,1,1,1,8,1,3,0,3
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,DateAdapter,6,42,0,0,2,9,0,4,0,4
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,LocalTimeAdapter,0,44,0,0,0,7,0,3,0,3
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,ZonedDateTimeAdapter,8,90,1,1,1,14,1,4,0,4
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,LocalDateAdapter,0,40,0,0,0,7,0,3,0,3
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,DurationAdapter,8,42,5,5,4,11,5,3,0,3
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,OffsetDateTimeAdapter,0,84,0,0,0,13,0,3,0,3
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,OffsetTimeAdapter,0,62,0,0,0,11,0,3,0,3
gson-javatime-serialisers,io.github.hungvm90.gsonjavatime,LocalDateTimeAdapter,0,70,0,0,0,11,0,3,0,3
